LIBRARY,FID
S_494_S382,NSW_1078652
S_496_S381,NSW_1078652
S_499_S265,NSW_1078652
S_5_S63_L003,NSW_1071070
S_501_S43,NSW_1078652
S_509_S109,NSW_1078653
S_515_S58,NSW_1078653
S_516_S138,NSW_1078653
S_517_S20_L003,NSW_1078654
S_522_S10,NSW_1078654
S_524_S33_L003,NSW_1078654
S_525_S305,NSW_1078654
S_528_S103,NSW_1078654
S_529_S314,NSW_1078656
S_533_S68,NSW_1078656
S_537_S78_L003,NSW_1078656
S_545_S69,NSW_1078657
S_550_S257,NSW_1078657
S_552_S308,NSW_1078657
S_557_S159,NSW_1078658
S_564_S211,NSW_1078658
S_565_S149,NSW_1078660
S_567_S165,NSW_1078660
S_572_S203,NSW_1078660
S_574_S155,NSW_1078660
S_591_S99,NSW_1078662
S_597_S255,NSW_1078662
S_6_S348,NSW_1071070
S_627_S83,NSW_1079654
S_629_S113,NSW_1079654
S_63_S170,NSW_1071110
S_630_S51_L003,NSW_1079654
S_631_S87_L003,NSW_1079654
S_640_S178,NSW_1079658
S_646_S142,NSW_1079658
S_65_S29_L003,NSW_1071110
S_650_S129,NSW_1079670
S_652_S232,NSW_1079670
S_653_S6,NSW_1079670
S_656_S181,NSW_1079670
S_657_S154,NSW_1079670
S_658_S33,NSW_1079670
S_66_S321,NSW_1071110
S_662_S98,NSW_1079671
S_673_S40_L003,NSW_1079672
S_674_S130,NSW_1079672
S_679_S9,NSW_1079672
S_685_S121,NSW_1079675
S_695_S46,NSW_1079675
S_696_S88,NSW_1079675
S_699_S356,NSW_1079677
S_7_S141,NSW_1071070
S_701_S340,NSW_1079677
S_704_S282,NSW_1079677
S_706_S108,NSW_1079677
S_711_S50,NSW_1079680
S_712_S136,NSW_1079680
S_713_S163,NSW_1079680
S_714_S34_L003,NSW_1079680
S_716_S283,NSW_1079680
S_726_S69_L003,NSW_1079681
S_732_S243,NSW_1079681
S_733_S67_L003,NSW_1079682
S_737_S201,NSW_1079682
S_738_S39,NSW_1079682
S_758_S128,NSW_1079687
S_762_S173,NSW_1079687
S_764_S93_L003,NSW_1079687
S_765_S48,NSW_1079687
S_769_S220,NSW_1079691
S_770_S57_L003,NSW_1079691
S_772_S58_L003,NSW_1079691
S_779_S94_L003,NSW_1079691
S_797_S209,NSW_1079696
S_809_S270,NSW_1079696
S_81_S279,NSW_1071113
S_813_S44_L003,NSW_1079696
S_824_S40,NSW_1079697
S_825_S71,NSW_1079697
S_826_S8_L003,NSW_1079697
S_829_S286,NSW_1079701
S_83_S14,NSW_1071113
S_831_S353,NSW_1079701
S_837_S50_L003,NSW_1079701
S_838_S306,NSW_1079701
S_840_S88_L003,NSW_1079701
S_844_S151,NSW_1075707
S_85_S36_L003,NSW_1071115
S_856_S174,NSW_1075707
S_861_S22_L003,NSW_1079702
S_861838_S2,NA
S_865_S82,NSW_1079703
S_868_S274,NSW_1079703
S_868442_S1,NA
S_869_S241,NSW_1079703
S_87_S81,NSW_1071115
S_874_S217,NSW_1079703
S_879_S97,NSW_1079705
S_881_S365,NSW_1079705
S_885_S77,NSW_1079705
S_89_S199,NSW_1071115
S_9_S300,NSW_1071070
S_901_S136,NSW_1079706
S_905_S248,NSW_1079706
S_927_S334,NSW_1079708
S_932_S42_L003,NSW_1079708
S_961_S70_L003,NSW_1079711
S_962_S42,NSW_1079711
S_969_S19_L003,NSW_1079711
S_972_S142,NSW_1079711
S_978_S90,NSW_1075712
S_983_S4,NSW_1075712
S_984_S370,NSW_1075712
S_985_S131,NSW_1079713
S_989_S196,NSW_1079713
S_993_S55,NSW_1079713
NA,NSW_1078637
NA,NSW_1071070
NA,NSW_1071070
NA,NSW_1079692
NA,NSW_1078640
NA,NSW_1078640
NA,NSW_1078640
NA,NSW_1071070
NA,NSW_1078640
NA,NSW_1078640
NA,NSW_1071070
NA,NSW_1071070
NA,NSW_1071075
NA,NSW_1078640
NA,NSW_1071075
NA,NSW_1078641
NA,NSW_1071075
NA,NSW_1071075
NA,NSW_1071075
NA,NSW_1071075
NA,NSW_1071075
NA,NSW_1071075
NA,NSW_1071075
NA,NSW_1071075
NA,NSW_1071080
NA,NSW_1071080
NA,NSW_1078642
NA,NSW_1078642
NA,NSW_1071080
NA,NSW_1071080
NA,NSW_1071080
NA,NSW_1078642
NA,NSW_1071080
NA,NSW_1071080
NA,NSW_1071080
NA,NSW_1071080
NA,NSW_1071090
NA,NSW_1071090
NA,NSW_1078645
NA,NSW_1078645
NA,NSW_1071090
NA,NSW_1071090
NA,NSW_1071090
NA,NSW_1071090
NA,NSW_1071090
NA,NSW_1071090
NA,NSW_1071090
NA,NSW_1071090
NA,NSW_1071110
NA,NSW_1071110
NA,NSW_1079702
NA,NSW_1071110
NA,NSW_1079702
NA,NSW_1078647
NA,NSW_1071110
NA,NSW_1071110
NA,NSW_1071110
NA,NSW_1071110
NA,NSW_1071110
NA,NSW_1071110
NA,NSW_1071113
NA,NSW_1071113
NA,NSW_1071113
NA,NSW_1071113
NA,NSW_1071113
NA,NSW_1071113
NA,NSW_1071113
NA,NSW_1071113
NA,NSW_1079702
NA,NSW_1071113
NA,NSW_1078651
NA,NSW_1071113
NA,NSW_1078651
NA,NSW_1071115
NA,NSW_1078652
NA,NSW_1071115
NA,NSW_1078652
NA,NSW_1071115
NA,NSW_1071115
NA,NSW_1071115
NA,NSW_1071115
NA,NSW_1071115
NA,NSW_1071115
NA,NSW_1071115
NA,NSW_1071118
NA,NSW_1071118
NA,NSW_1071118
NA,NSW_1071118
NA,NSW_1078653
NA,NSW_1078653
NA,NSW_1071118
NA,NSW_1071118
NA,NSW_1071118
NA,NSW_1078653
NA,NSW_1078653
NA,NSW_1078653
NA,NSW_1079706
NA,NSW_1071123
NA,NSW_1071123
NA,NSW_1071123
NA,NSW_1078654
NA,NSW_1071123
NA,NSW_1071123
NA,NSW_1071123
NA,NSW_1071123
NA,NSW_1071123
NA,NSW_1071123
NA,NSW_1071123
NA,NSW_1078654
NA,NSW_1079707
NA,NSW_1071128
NA,NSW_1071128
NA,NSW_1078656
NA,NSW_1071128
NA,NSW_1071128
NA,NSW_1071128
NA,NSW_1078656
NA,NSW_1078656
NA,NSW_1071128
NA,NSW_1078656
NA,NSW_1071133
NA,NSW_1071133
NA,NSW_1071133
NA,NSW_1071133
NA,NSW_1078657
NA,NSW_1071133
NA,NSW_1071133
NA,NSW_1078657
NA,NSW_1078657
NA,NSW_1071133
NA,NSW_1071133
NA,NSW_1071133
NA,NSW_1071138
NA,NSW_1071138
NA,NSW_1078658
NA,NSW_1078658
NA,NSW_1071138
NA,NSW_1078658
NA,NSW_1079709
NA,NSW_1071138
NA,NSW_1071138
NA,NSW_1078658
NA,NSW_1071138
NA,NSW_1071138
NA,NSW_1071143
NA,NSW_1079710
NA,NSW_1071143
NA,NSW_1071143
NA,NSW_1079710
NA,NSW_1071143
NA,NSW_1078660
NA,NSW_1078660
NA,NSW_1071143
NA,NSW_1071143
NA,NSW_1078660
NA,NSW_1071143
NA,NSW_1078660
NA,NSW_1071148
NA,NSW_1078662
NA,NSW_1071148
NA,NSW_1078662
NA,NSW_1071148
NA,NSW_1071148
NA,NSW_1075721
NA,NSW_1078662
NA,NSW_1075721
NA,NSW_1071148
NA,NSW_1071148
NA,NSW_1074318
NA,NSW_1074318
NA,NSW_1074318
NA,NSW_1074318
NA,NSW_1075712
NA,NSW_1075721
NA,NSW_1078662
NA,NSW_1074318
NA,NSW_1074318
NA,NSW_1074318
NA,NSW_1074318
NA,NSW_1074318
NA,NSW_1074324
NA,NSW_1075719
NA,NSW_1074324
NA,NSW_1075719
NA,NSW_1078713
NA,NSW_1078713
NA,NSW_1074324
NA,NSW_1078713
NA,NSW_1074324
NA,NSW_1075719
NA,NSW_1074324
NA,NSW_1075719
NA,NSW_1074324
NA,NSW_1075719
NA,NSW_1074324
NA,NSW_1075719
NA,NSW_1074324
