"","decimalLongitude","decimalLatitude"
"2171",153.127945,-27.781634
"2173",153.153987,-27.572937
"2180",143.25,-13
"2181",152.317536,-25.047295
"2186",153.166667,-27.7
"2187",152.942736,-27.30674
"2199",151.178466,-33.728508
"2209",151.091769,-33.690606
"2212",153.176,-29.232987
"2219",151.909072,-32.749108
"2222",152.459392,-25.090081
"2225",153.572857,-28.807114
"2241",150.738205,-34.837704
"2254",153.1,-27.2
"2256",152.837201,-30.74841
"2268",152.961453,-30.582296
"2293",152.7957,-25.592069
"2294",150.75,-22.783333
"2295",151.865483,-26.560732
"2306",149.179168,-21.274166
"2308",150.626072,-22.890088
"2314",152.724905,-31.806665
"2326",153.117958,-26.823381
"2335",151.607449,-32.759829
"2336",151.451146,-33.415087
"2347",152.9195,-29.553642
"2358",152.460762,-25.66947
"2359",152.774449,-29.827761
"2362",153.487349,-28.972386
"2363",146.816667,-19.666667
"2365",151.313387,-33.461779
"2378",142.926119,-11.940165
"2381",153.354308,-28.070039
"2382",153.324936,-28.83276
"2389",152.36676,-24.864609
"2391",145.181371,-37.699459
"2396",152.9609,-31.045228
"2397",153.243686,-29.200805
"2403",153.16579,-29.206356
"2406",153.428488,-28.140454
"2412",153.21925,-29.588145
"2415",152.124444,-25.560278
"2418",152.19044,-32.52696
"2428",153.496262,-28.691401
"2429",153.339552,-29.293143
"2439",144.561289,-14.344146
"2440",153.027467,-27.690106
"2447",150.766275,-34.015214
"2448",152.659387,-25.969506
"2451",153.573879,-28.722351
"2454",146.084244,-37.06118
"2461",153.345464,-28.759907
"2468",151.080969,-32.763324
"2470",152.836046,-26.93523
"2471",153.52848,-28.399163
"2493",153.076061,-27.456736
"2502",152.848889,-27.679167
"2513",151.166667,-33.6
"2514",143.1509218,-12.7153626
"2531",151.4342511,-32.1319578
"2549",142.064483,-11.79825
"2561",153.14061,-27.82538
"2575",145.883333,-17.35
"2576",145.060278,-15.477222
"2577",153.064225,-27.109322
"2587",142.4,-10.883333
"2593",150.591943,-34.81347
"2603",153.197957,-29.534253
"2617",153.373577,-27.915105
"2619",150.756667,-23.166667
"2633",153.061667,-25.897222
"2634",152.494057,-32.075759
"2637",153.367381,-28.339759
"2648",152.943161,-29.705397
"2649",152.711057,-25.879799
"2662",152.61383,-25.148134
"2665",153.526065,-28.418554
"2669",153.029151,-26.562045
"2680",151.47915,-33.13551
"2684",152.195,-32.624
"2690",151.484761,-33.099245
"2700",152.886453,-30.963813
"2701",151.097755,-34.10253
"2702",152.685797,-25.527091
"2703",153.379152,-29.212709
"2712",152.927261,-27.581047
"2713",142.783333,-11.166667
"2721",153,-31.083333
"2731",152.622443,-31.781785
"2741",152.964657,-29.551427
"2745",151.638744,-33.116258
"2746",151.581541,-32.987722
"2747",151.51856,-32.992768
"2749",153.135081,-29.611196
"2758",151.24114,-33.84425
"2763",152.725393,-31.423793
"2766",153.102525,-27.562922
"2767",152.203478,-32.415858
"2774",150.877958,-33.851972
"2776",153.032715,-25.411172
"2779",141.583333,-14.75
"2781",151.717394,-32.944018
"2800",153.08373,-29.222139
"2803",150.893601,-33.653833
"2811",145.183333,-15.633333
"2812",151.818621,-32.666412
"2814",152.960459,-29.54148
"2827",153.434432,-28.309612
"2830",153.211436,-29.575899
"2832",151.59455,-33.010025
"2851",153.076786,-25.640322
"2860",153.415414,-27.30073
"2861",151.994114,-24.523973
"2864",152.929139,-30.700889
"2867",145.6383,-16.85
"2870",150.65372,-35.012877
"2874",153.023539,-30.946816
"2878",151.743899,-32.776189
"2880",152.807574,-29.822304
"2884",152.698834,-25.810632
"2903",152.820447,-29.837677
"2916",153.501902,-28.959598
"2921",151.1,-33.8
"2923",152.773735,-26.980408
"2926",152.432291,-31.875812
"2927",142.6,-12.766667
"2933",153.17775,-27.58427
"2942",145.7,-17.45
"2944",152.468315,-31.946455
"2951",142.207812,-10.176288
"2955",152.9867,-26.3641
"2958",152.63826,-25.676055
"2959",153.553294,-28.207893
"2963",151.50308,-33.097243
"2965",151.175513,-23.613422
"2972",153.183034,-29.189159
"2978",150.94392,-33.866635
"2983",152.957803,-31.032179
"2984",145.412485,-16.326193
"2986",142.413889,-11.383611
"2999",152.644371,-31.862137
"3002",149.453933,-24.009642
"3008",150.961735,-33.813907
"3014",152.820267,-30.996808
"3016",151.377734,-33.380085
"3020",152.8554,-26.4385
"3041",153.126061,-27.390069
"3043",151.176553,-33.70612
"3050",150.78489,-34.54728
"3051",152.86809,-31.083027
"3053",142.316667,-10.966667
"3055",151.597342,-32.997207
"3057",153.430587,-27.488353
"3063",152.131211,-27.518689
"3072",150.734326,-34.295269
"3086",142.509454,-12.523496
"3090",145.483333,-16.666667
"3094",150.88612,-33.96836
"3103",152.853272,-26.372769
"3104",152.951285,-28.989407
"3106",152.939562,-27.746764
"3109",151.779636,-32.907842
"3111",153.376061,-27.123403
"3128",144.227995,-37.063057
"3135",153.335313,-27.985274
"3137",152.760046,-25.320235
"3143",152.657542,-25.836488
"3149",152.81084,-29.158055
"3152",152.780452,-31.736026
"3157",152.414426,-32.128968
"3161",152.788547,-25.367288
"3163",153.130603,-25.456408
"3173",151.416239,-33.492254
"3175",153.127145,-25.508866
"3176",151.167736,-23.631755
"3178",152.693315,-25.697987
"3189",150.763849,-22.642865
"3190",153.001072,-26.471643
"3191",152.175372,-32.580749
"3192",153.101339,-29.619226
"3193",153.085701,-29.114641
"3197",152.219004,-32.388921
"3201",153.0008506,-25.4986191
"3203",146.339444,-18.992222
"3233",151.1765,-33.868693
"3236",153.071316,-28.761884
"3239",153.186679,-29.878803
"3242",152.95,-26.85
"3248",145.25,-15.4667
"3254",152.794322,-31.001632
"3261",153.083953,-27.64938
"3268",152.55843,-25.717024
"3291",150.920122,-34.319465
"3305",144.459443,-14.356815
"3314",153.250094,-27.532371
"3324",153.282596,-29.341103
"3327",152.489443,-32.350607
"3336",152.501115,-32.165078
"3345",152.90801,-26.432093
"3348",152.406888,-25.09397
"3350",143.233333,-12.75
"3356",152.995208,-27.663211
"3359",152.922401,-30.663321
"3360",153.07116,-25.54612
"3366",152.313834,-24.994248
"3399",152.114973,-32.666832
"3401",152.442722,-24.990082
"3404",150.845131,-33.989385
"3407",150.7836,-23.2172
"3416",153.083333,-30.05
"3419",150.81264,-33.78678
"3420",153.01489,-30.486901
"3424",150.794872,-34.008691
"3427",151.210235,-23.537033
"3435",153.023894,-29.499949
"3449",153.106058,-26.876545
"3450",151.501769,-33.083021
"3455",153.151647,-27.534122
"3467",152.998092,-26.4092
"3483",151.933412,-32.573164
"3484",152.783333,-31.333333
"3489",150.574569,-33.70198
"3502",151.028347,-33.704921
"3506",153.216667,-27.516667
"3507",152.765761,-30.956847
"3518",150.977953,-33.951799
"3524",151.489408,-33.074854
"3527",152.9534,-26.2829
"3537",153.269172,-28.994237
"3550",152.963252,-31.314076
"3553",151.651511,-32.766254
"3559",152.54141,-25.715883
"3563",151.638,-32.793
"3565",152.7008962,-31.6319496
"3568",152.90869,-30.911874
"3585",150.534438,-33.68748
"3588",153.001057,-26.365073
"3591",152.991562,-27.540874
"3593",152.716021,-25.583748
"3621",150.887266,-33.686799
"3629",141.963036,-12.533609
"3633",153.251789,-29.105501
"3635",152.894278,-27.013429
"3639",152.992678,-30.61107
"3647",152.814138,-29.790356
"3651",145.366667,-16.366667
"3654",153,-26
"3659",152.695647,-25.263412
"3668",151.153228,-34.057551
"3669",143.101972,-13.825667
"3678",150.56076,-34.275304
"3681",151.499663,-33.01779
"3687",152.38402,-32.463
"3696",142.321679,-10.203897
"3697",151.966652,-32.692831
"3706",152.989517,-27.619089
