"","NSWID","FID","species","longitude","latitude","sample_lib_NSW","SeedlingNumb","Pop","ID","IID","height","rust_infection","LeavesShootInfect","LeavesShootRustSchore1.5","MinorBranchDB","MajorBranchDB","CrownDensity","Notes"
"141","NSW1079738","NSW_1079738","Melaleuca quinquenervia",152.7937629,-31.68884571,"NSW_1079738_S149",12,"pa9710de0","NSW_1079738_12",1320,9,"infected","90+",1,"no","no",70,"burnt up to 1m"
"142","NSW1079739","NSW_1079739","Melaleuca quinquenervia",152.7916118,-31.69862089,"NSW_1079739_S27",12,"pa9710de0","NSW_1079739_12",1332,10,"0A","10-50",NA,"no","no",90,"burnt up to 3m"
"143","NSW1079740","NSW_1079740","Melaleuca quinquenervia",152.5377314,-32.24914199,"NSW_1079740_S104",12,"pbb515550","NSW_1079740_12",1344,16,"infected","50-90",1,"no","no",90,"new leaves affected"
"144","NSW1079741","NSW_1079741","Melaleuca quinquenervia",152.9575479,-31.33082294,"NSW_1079741_S59",12,"pe59c2ef0","NSW_1079741_12",1356,16,"infected","50-90",1,"no","no",55,"burnt up to 5m"
"145","NSW1079743","NSW_1079743","Melaleuca quinquenervia",152.7912195,-31.71505587,"NSW_1079743_S167",12,"pa9710de0","NSW_1079743_12",1368,3,"0A","10-50",NA,"yes","no",50,"trunk and branches horizontal"
"146","NSW1079743","NSW_1079743","Melaleuca quinquenervia",152.7912195,-31.71505587,"NSW_1079743_1_S167",12,"pa9710de0","NSW_1079743_12",1368,3,"0A","10-50",NA,"yes","no",50,"trunk and branches horizontal"
"147","NSW1079744","NSW_1079744","Melaleuca quinquenervia",152.5364718,-32.25109305,"NSW_1079744_S45",12,"pbb515550","NSW_1079744_12",1380,10,"0A","1-5",NA,"no","no",90,""
"148","NSW1079745","NSW_1079745","Melaleuca quinquenervia",152.9005251,-31.49982136,"NSW_1079745_S49",12,"pb9a5aec0","NSW_1079745_12",1392,10,"0",NA,NA,"yes","no",65,"burnt up to 6m"
"149","NSW1079746","NSW_1079746","Melaleuca quinquenervia",152.9570097,-31.33168946,"NSW_1079746_S114",12,"pe59c2ef0","NSW_1079746_12",1404,15,"0A","10-50",NA,"yes","no",50,"burnt up to 6m"
"150","NSW1079747","NSW_1079747","Melaleuca quinquenervia",153.03983,-31.0495524,"NSW_1079747_S47",12,"p831064a0","NSW_1079747_12",1416,10,"0A","5-10",NA,"no","no",50,""
"151","NSW1079748","NSW_1079748","Melaleuca quinquenervia",152.5368591,-32.25015074,"NSW_1079748_S30",12,"pbb515550","NSW_1079748_12",1428,11,"0A","1-5",NA,"no","no",55,""
"152","NSW1079750","NSW_1079750","Melaleuca quinquenervia",152.8997563,-31.50047217,"NSW_1079750_S94",12,"pb9a5aec0","NSW_1079750_12",1440,12,"0A","1-5",NA,"yes","yes",55,"burnt up to 7m; major branch dieback due to fire"
"153","NSW1079751","NSW_1079751","Melaleuca quinquenervia",152.9575655,-31.33080433,"NSW_1079751_S140",12,"pe59c2ef0","NSW_1079751_12",1452,10,"infected","5-10",1,"no","no",60,"burnt up to 6m"
"154","NSW1079752","NSW_1079752","Melaleuca quinquenervia",153.0250251,-31.03003889,"NSW_1079752_S38",12,"p831064a0","NSW_1079752_12",1464,12,"infected","90+",1,"no","no",30,""
"155","NSW1079753","NSW_1079753","Melaleuca quinquenervia",152.5368438,-32.25012837,"NSW_1079753_S29",12,"pbb515550","NSW_1079753_12",1476,11,"infected","50-90",2,"yes","no",55,""
"156","NSW1079755","NSW_1079755","Melaleuca quinquenervia",152.8997506,-31.50046378,"NSW_1079755_S92",12,"pb9a5aec0","NSW_1079755_12",1488,12,"0A","50-90",NA,"no","no",50,"burnt up to 8m"
"157","NSW1079756","NSW_1079756","Melaleuca quinquenervia",152.9589881,-31.32818962,"NSW_1079756_S139",12,"pe59c2ef0","NSW_1079756_12",1500,12,"infected","10-50",1,"no","no",75,""
"158","NSW1079758","NSW_1079758","Melaleuca quinquenervia",152.5364798,-32.25109093,"NSW_1079758_S161",12,"pbb515550","NSW_1079758_12",1512,13,"0A","5-10",NA,"no","no",55,""
"159","NSW1079760","NSW_1079760","Melaleuca quinquenervia",152.8986933,-31.50147069,"NSW_1079760_S91",12,"pb9a5aec0","NSW_1079760_12",1524,10,"infected","90+",2,"yes","yes",35,"burnt up to 8m; major branch dieback due to fire"
"160","NSW1079761","NSW_1079761","Melaleuca quinquenervia",152.9590002,-31.32815482,"NSW_1079761_S174",12,"pe59c2ef0","NSW_1079761_12",1536,14,"0A","50-90",NA,"no","no",55,""
